2,4,11,13,15,18,19,21,22,25,29,32
4,5,9,11,12,13,15,16,17,22,25,28
2,4,6,7,15,16,20,21,27,29,31,33
3,4,8,13,16,19,20,21,22,24,27,31
4,5,7,11,17,21,24,25,26,28,32,33
4,6,9,10,13,14,18,21,23,24,32,33
3,7,9,10,12,14,19,21,23,25,30,32
1,2,3,5,15,17,19,27,29,31,32,33
4,6,9,11,13,14,17,21,23,27,32,33
2,12,14,15,16,17,18,21,22,23,26,30
2,5,10,11,12,14,16,18,19,20,21,25
1,2,5,7,14,16,17,20,23,24,26,29
2,6,12,15,16,17,19,21,23,27,30,32
1,4,8,9,12,14,15,20,24,26,30,32
1,2,8,9,11,12,13,14,20,22,25,26
1,2,3,4,11,12,18,19,20,25,26,33
1,2,5,7,8,16,17,25,27,30,31,33
