4,6,8,12,13,14,23,24,29,30|5,12,16
1,7,12,14,19,20,21,29,30,32|2,8,14
3,5,12,13,15,17,18,23,31,32|3,6,7
4,8,10,11,15,20,22,29,31,33|2,14,15
3,8,13,15,17,18,20,22,28,32|9,10,11
3,4,8,12,14,15,23,24,26,30|4,5,9
3,6,7,12,17,19,21,26,27,32|4,8,9
5,8,9,10,13,17,19,21,24,31|1,4,6
6,7,11,14,17,26,27,28,29,30|9,12,13
3,5,7,10,12,13,20,22,24,26|6,9,12
3,6,8,12,13,18,20,23,28,32|3,7,9
6,9,10,15,16,18,24,25,26,29|13,14,15
1,4,6,11,13,15,18,19,24,25|3,7,12
1,3,13,15,16,18,21,28,31,33|6,7,8
8,9,13,17,21,24,26,27,30,31|9,14,15
2,4,5,11,13,16,21,24,26,31|9,11,14
1,4,11,15,16,20,24,29,32,33|6,8,16
2,3,5,12,13,24,26,27,28,31|3,4,9
3,6,9,12,15,16,17,22,25,29|2,10,13
3,5,8,11,15,16,20,24,25,28|8,10,12
