4,5,7,8,9,11,12,21,23,30|3,9,15
1,8,11,13,17,21,22,29,30,31|8,9,10
5,11,12,13,22,24,25,26,29,30|3,4,9
4,7,10,18,19,20,23,27,28,32|1,3,7
2,8,9,12,15,16,17,22,26,32|10,11,13
3,4,7,8,14,15,16,18,25,29|8,15,16
4,5,8,9,11,14,16,22,26,30|2,3,4
4,8,10,15,17,23,25,26,27,32|9,11,14
4,8,13,16,18,21,22,24,28,30|4,9,14
3,6,9,11,12,13,14,23,24,33|1,2,6
9,10,12,16,23,24,27,28,32,33|2,4,16
3,4,9,10,13,14,19,20,22,23|2,3,4
1,6,10,18,21,24,25,26,30,32|1,6,7
1,14,16,17,23,24,30,31,32,33|6,10,14
2,5,6,7,16,23,25,29,30,33|9,10,11
3,7,8,11,20,22,24,27,28,32|4,13,16
3,5,7,10,12,14,18,21,30,31|3,7,9
1,3,7,8,10,17,19,22,24,28|4,9,15
7,8,9,11,14,17,22,23,24,25|3,6,7
11,17,19,20,21,23,25,27,29,31|7,10,11
