4,5,6,9,11,19,20,21,24,25|1,4,15
3,8,11,13,16,17,22,25,26,32|1,3,11
1,4,5,12,13,20,21,24,29,30|3,4,7
6,8,11,14,15,17,22,26,27,29|11,13,15
5,6,14,18,20,22,24,26,28,31|4,12,16
5,7,13,14,17,20,21,23,28,30|4,8,9
3,4,5,6,7,8,9,12,15,24|5,9,11
5,7,10,11,15,16,19,28,30,31|9,13,15
1,2,8,12,18,21,22,24,25,29|2,9,10
8,9,13,16,19,26,27,29,32,33|2,7,10
3,7,14,17,19,21,24,27,29,30|8,9,15
4,9,11,14,15,22,23,28,30,31|4,7,8
3,4,6,8,10,16,20,21,27,28|4,14,15
2,5,9,12,15,18,20,23,28,30|1,4,14
3,5,6,7,20,21,24,26,27,31|3,9,15
2,3,10,11,13,15,18,19,20,27|1,3,15
2,4,9,15,17,18,19,22,23,29|4,14,16
2,4,7,8,12,19,23,24,28,31|5,13,16
3,8,10,19,21,22,23,25,29,30|8,9,15
3,5,6,7,11,12,16,18,26,27|14,15,16
