1,12,15,16,17,20,23,25,29,32|1,3,5
1,3,5,11,15,18,20,22,25,31|8,12,14
5,8,9,14,20,21,23,25,27,30|9,12,15
2,9,11,12,21,22,24,25,28,29|1,3,13
4,5,10,12,13,15,19,21,31,33|4,11,13
2,3,4,6,7,10,12,16,27,33|3,15,16
3,10,14,15,17,19,21,23,27,28|6,10,12
3,4,6,7,8,9,22,25,27,31|1,2,5
5,7,8,10,12,14,28,31,32,33|4,7,14
4,7,9,17,18,19,24,25,30,32|1,3,6
2,5,10,13,16,22,24,26,29,32|1,2,5
4,10,11,12,15,19,21,26,29,30|5,8,11
2,3,4,6,10,15,20,24,27,30|3,9,14
8,9,13,17,19,21,23,26,27,29|6,9,12
1,3,6,11,12,13,18,26,27,31|3,6,7
3,5,6,7,9,12,17,18,20,29|14,15,16
2,6,7,11,13,16,19,22,23,32|3,4,14
1,3,4,6,15,16,20,22,28,30|5,7,12
2,9,15,17,18,21,24,25,30,31|3,6,14
2,4,6,7,9,10,11,15,25,30|4,13,16
