08,09,20,22,27,31|16
06,13,19,20,22,29|15
04,14,15,17,20,27|10
04,05,20,21,27,29|14
03,10,16,20,27,28|12
04,08,17,18,20,27|04
04,11,18,20,27,28|07
02,11,15,20,25,27|03
04,13,15,20,25,27|13
04,09,20,23,29,31|01
02,12,20,23,25,28|11
06,07,17,20,25,28|06
03,08,10,22,27,32|09
04,10,22,27,29,33|02
03,07,10,11,22,27|05
03,10,21,22,27,29|08
05,14,19,21,22,25|16
01,08,09,15,22,31|15
08,16,22,23,24,29|10
04,05,22,24,26,31|14
03,08,17,18,22,30|12
03,12,18,19,22,26|04
02,06,13,22,28,29|07
06,07,11,22,25,33|03
03,10,16,27,29,32|13
03,12,19,25,27,32|01
04,05,10,23,26,27|11
04,05,17,18,27,30|06
05,08,15,16,27,30|09
04,05,09,17,32,33|02
03,04,09,17,24,32|05
02,07,15,27,28,30|08
04,12,15,17,26,27|16
02,03,16,18,27,29|15
03,04,17,26,31,32|10
03,08,12,16,31,32|14
04,05,18,26,31,32|12
05,08,13,16,30,32|04
02,04,13,18,29,32|07
04,05,09,17,26,30|03
01,04,09,14,28,29|13
04,07,10,18,32,33|01
07,10,17,19,30,32|11
04,13,15,19,26,32|06
06,13,15,19,24,32|09
07,08,15,17,24,32|02
03,04,07,24,25,32|05
03,07,08,16,29,32|08
04,09,18,26,31,33|16
04,07,14,15,23,26|15
05,06,13,18,31,33|10
05,06,21,25,26,33|14
05,08,18,21,25,26|12
05,06,21,23,26,31|04
05,08,15,23,24,31|07
02,05,16,18,23,30|03
05,10,12,13,23,28|13
05,11,18,26,31,33|01
04,05,13,15,26,31|11
01,03,14,18,21,29|06
07,12,17,21,23,30|09
06,07,08,12,23,26|02
02,05,16,18,29,30|05
05,06,13,19,30,33|08
01,05,06,19,29,30|16
01,05,06,17,21,30|15
01,08,15,17,30,31|10
08,10,12,25,26,31|14
04,10,15,17,26,31|12
07,12,18,21,23,28|04
06,12,13,21,23,28|07
02,03,08,25,28,29|03
06,11,12,13,29,33|13
02,03,12,13,25,28|01
01,10,17,26,28,30|11
03,06,17,19,26,30|06
06,11,17,28,30,33|09
02,03,13,18,25,30|02
